placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,seq,area,inv,transecto,parcela,distancia,ns,metragem,quadra,recruit,data_morta,altura,altura_1,dap.04,mv.04,obs.04,data04,pq_f4,obs_f4,am_f4,c.05,mv.05,obs.05,pp_ne5,tombada5,am_f5,pq_f5,obs_cic5,qtotal5,data_cic5,c.06,mv.06,obs.06,pp_ne6,am_f6,pq_f6,obs_cic6,data_cic6,qtotal6,data06,dap.07,c.07,mv.07,obs.07,pp_ne7,tombada7,data_c07P,c07P,obs_c07P,c07_CP,am_f7,pq_f7,nova_placa.07,data07,dap.08,c.08,mv.08,obs.08,data08,NA.CORRECAO,Cicat,Rec,c.09,mv.09,obs.09,cicat_c09,recup_c09,am_f9,pq_f9,qt_f9,obs_cic9,data_cic9,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,mv.23,obs.23,data23,equipe.23,dap.24,c.24,mv.24,obs.24,data24,equipe.24
34829,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,5748,1,10a20cm,K,C,-5.6,N,1386.8,111,i04,2008,25,25,30.9,v,,01_08_2004,30,,25,5,v,,0,0,,,NQ,0,03_10_2005,5,v,,0,56,100,,09_09_2006,0,01_08_2006,,3,v,,0,0,20_09_2007,V,,empe,4,100,34829,01_08_2007,31.5,0,m,,10_07_2008,,4,0,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,17_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3483,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,2693,1,10a20cm,C,B,-8,N,765.6,62,i04,2012,25,25,43.8,v,,01_08_2004,40,,30,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,1,100,,31_07_2007,46.3,4,v,,10_07_2008,,3,,5,v,,3,1,,,,,,47.5,5,v,,24_06_2010,47,3,v,,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
34830,,breu_sucuruba,Trarho,Trattinnickia,rhoifolia Willd.,Burseraceae,,0.45,5749,1,10a20cm,P,B,5.1,S,927.2,76,i04,2004,9,9,26,m,,01_08_2004,100,,60,0,m,,0,0,,,,,,0,m,,0,,,,,,02_08_2006,,0,m,,0,0,20_09_2007,M,qt,,,,,02_08_2007,,0,m,morta,10_07_2008,34830,,,0,m,,,,,,,,,,0,m,m,13_07_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,05_07_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
34831,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,5750,1,10a20cm,P,C,8.4,S,1296.8,104,i04,2009,16,16,30.4,v,,01_08_2004,100,,30,4,v,,0,0,86,100,,0,03_10_2005,5,v,,0,,,nq,11_09_2006,0,02_08_2006,,4,v,,0,0,21_09_2007,V,,empe,90,100,34831,02_08_2007,33.9,3,v,,10_07_2008,,3,1,0,m,pp,,,,,,,9/23/09,,0,m,m,14_07_2010,,0,m,morta,22_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,06_07_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3484,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,2694,1,10a20cm,C,B,-4.3,N,767,62,i04,2006,15,15,31.4,v,,01_08_2004,100,,88,4,v,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,qt,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3485,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2695,1,10a20cm,C,B,1.1,S,780,63,i04,2006,3,3,52,v,,01_08_2004,,,,3,v,,0,0,,,,,,0,m,qt_pp,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,qt,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3486,,aracapeua,Myrmul,Myrcia,multiflora (Lam.) DC.,Myrtaceae,,0.815,2696,1,10a20cm,C,B,5.5,S,783,63,i04,2011,10,10,22.5,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,23.5,3,v,,10_07_2008,,1,,5,v,,0,0,,,,,,24.3,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3487,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2697,1,10a20cm,C,B,3.8,S,786.3,63,i04,2012,30,30,33,v,,01_08_2004,,,,4,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,4,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,33.7,3,v,,10_07_2008,,0,,3,v,,0,0,,,,,,35.3,4,v,,24_06_2010,35.6,1,v,cqct,18_08_2011,,0,m,cqct,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3488,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,2698,1,10a20cm,C,B,6.1,S,791,63,i04,2011,23,23,22.4,v,,01_08_2004,100,,17,3,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,10,10,,31_07_2007,23.5,2,v,,10_07_2008,,2,,2,v,cr,2,0,,,,,,24.8,3,v,cr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3489,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,2699,1,10a20cm,C,B,1.4,S,789.3,63,i04,2014,23,23,25.8,v,,01_08_2004,30,,20,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,20,80,,31_07_2007,28.8,4,v,,10_07_2008,,0,,5,v,,2,1,,,,,,30.2,5,v,,24_06_2010,30.8,4,v,cst,18_08_2011,31.4,4,v,cst,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
349,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,349,1,10a20cm,F,B,-9.8,N,918,77,i04,2009,25,25,23.4,v,,01_08_2004,92,,35,3,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,4,v,,0,0,20_09_2007,V,,empe,1,20,,31_07_2007,23.3,1,v,,10_07_2008,,0,0,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,14_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3490,,macarandubinha,Pouram,Pouteria,ramiflora (Mart.) Radlk,Sapotaceae,,0.775625,2700,1,10a20cm,C,B,7.9,S,800,63,i04,2012,28,28,78.9,v,,01_08_2004,25,,20,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,10,10,,31_07_2007,69.1,5,v,,10_07_2008,,0,,4,v,,0,0,,,,,,69.2,5,v,,24_06_2010,69.5,4,v,,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3491,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,2701,1,10a20cm,C,B,-2.9,N,780,64,i04,2011,9,9,21.3,v,,01_08_2004,,,,4,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,2,v,cr,0,0,14_09_2007,V,,empe,10,20,,31_07_2007,21.5,1,v,,10_07_2008,,0,,2,v,,0,0,,,,,,21.6,4,v,cr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3492,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2702,1,10a20cm,C,B,-8.5,N,786.8,64,i04,2004,27,27,31.1,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,,empe,0,0,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3493,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,2703,1,10a20cm,C,B,-9.1,N,788.6,64,i04,2016,30,30,48.5,v,,01_08_2004,,,,4,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,48.7,4,v,,10_07_2008,,0,,5,v,,0,0,,,,,,50.5,5,v,,24_06_2010,51.2,4,v,,18_08_2011,51.6,2,v,,20_06_2012,51.1,1,v,,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3494,,pau_de_cobra,Ourdis,Ouratea,discophora Ducke,Ochnaceae,,0.79,2704,1,10a20cm,C,B,-4.1,N,801.1,64,i04,2016,30,30,27.5,v,,01_08_2004,10,,11,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,10,20,,31_07_2007,27.9,5,v,,10_07_2008,,0,,4,v,,0,0,,,,,,28.3,5,v,,24_06_2010,28.6,4,v,,18_08_2011,29.3,4,v,,20_06_2012,30,1,v,,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3495,,tinteiro_branco,Micpyr,Miconia,pyrifolia Naudin,Melastomataceae,,0.6315,2705,1,10a20cm,C,B,7.8,S,807.3,65,i04,2004,17,17,20.5,m,,01_08_2004,95,,41,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,qt,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3496,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2706,1,10a20cm,C,B,5.3,S,812,65,i04,2011,19,19,24.1,v,,01_08_2004,50,,26,2,v,,0,0,,,,,,3,v,cq,0,,,,,,01_08_2006,,3,v,,0,0,14_09_2007,V,,empe,90,100,,31_07_2007,25.2,1,v,,10_07_2008,,1,,3,v,,0,0,,,,,,25.6,2,v,cq/norte,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3497,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,2707,1,10a20cm,C,B,9.1,S,801.5,66,i04,2022,30,30,67,v,,01_08_2004,15,,57,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,68.4,5,v,,10_07_2008,,1,,5,v,,0,0,,,,,,68.2,5,v,,24_06_2010,68,3,v,,18_08_2011,68,3,v,,20_06_2012,67.6,3,v,,08_10_2014,67.7,3,v,viva,09_06_2016,67.7,3,v,,18_06_2018,,0,m,morta,,27_06_2022,Santarem_Ebis_Antonio,,,,,,0,m,,10_06_2024,
3498,,miraoba_folha_grande,Moubra,Mouriri,brachyanthera Ducke,Memecylaceae,,0.838461538,2708,1,10a20cm,C,B,6.3,S,806,66,i04,2011,12,12,29.3,v,,01_08_2004,10,,51,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,3,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,29.7,2,v,,10_07_2008,,0,,3,v,,0,0,,,,,,30.3,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3499,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2709,1,10a20cm,C,B,9.4,S,812.2,66,i04,2011,18,18,31.8,v,,01_08_2004,50,,90,4,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,3,v,cq,0,0,14_09_2007,V,,empe,10,10,,31_07_2007,32.6,3,v,,10_07_2008,,2,,4,v,,2,1,,,,,,33,4,v,cq,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
35,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,35,1,10a20cm,F,A,9,S,89.5,10,i04,,19,19,34.5,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,37.7,4,v,,10_07_2008,,,,5,v,,,,,,,,,38.5,5,v,,23_06_2010,39,5,v,,12_08_2011,39.3,5,v,,20_06_2012,41,5,v,,08_10_2014,41.9,5,v,,09_06_2016,42.7,5,v,,18_06_2018,44.9,5,v,,,01_07_2022,Santarem_Ebis_Antonio,v,,21_06_2023,Bate; Santarém; Ebis,45.1,5,v,,13_06_2024,Ebis_Santarem_Sebastiao
350,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,350,1,10a20cm,F,B,-1.6,N,925.5,77,i04,2008,20,20,32.6,v,,01_08_2004,80,,32,4,v,,0,0,,,,,,5,v,cr,0,,,,,,01_08_2006,,5,v,,0,0,20_09_2007,V,,empe,1,100,,31_07_2007,35.5,0,m,,10_07_2008,,0,0,0,m,cr,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,14_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3500,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2710,1,10a20cm,C,B,9.9,S,813.2,66,i04,2011,23,23,30.8,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,3,v,,0,0,14_09_2007,V,,empe,10,30,,31_07_2007,32.3,4,v,,10_07_2008,,1,,4,v,,2,2,,,,,,34.1,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3501,,fava_orelha,Entsch,Enterolobium,schomburgkii (Benth.) Benth.,Mimosoideae,,0.72,2711,1,10a20cm,C,B,2.4,S,824.8,66,i04,2011,30,30,54,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,60.4,5,v,,10_07_2008,,0,,5,v,,0,0,,,,,,64,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3502,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,2712,1,10a20cm,C,B,4.4,S,825,66,i04,2011,21,21,29.8,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,0,0,,31_07_2007,33.7,3,v,,10_07_2008,,0,,4,v,,0,0,,,,,,35.5,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3503,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2713,1,10a20cm,C,B,-4.9,N,824.4,67,i04,2011,20,20,33.2,v,,01_08_2004,100,,48,2,v,,0,0,,,,,,2,v,,0,,,,,,01_08_2006,,4,v,,0,0,14_09_2007,V,,empe,20,30,,31_07_2007,34,3,v,,10_07_2008,,2,,4,v,,2,1,,,,,,34.8,4,v,cr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3504,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2714,1,10a20cm,C,B,-3.3,N,840.5,67,i04,2011,27,27,35,v,,01_08_2004,100,,105,3,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,30,75,,31_07_2007,35.7,2,v,,10_07_2008,,0,,4,v,,0,0,,,,,,36.6,3,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3505,,envira_vassourinha,Xylama,Xylopia,amazonica R.E.Fries,Annonaceae,,0.79,2715,1,10a20cm,C,B,-7.3,N,843.5,67,i04,2011,30,30,21.6,v,,01_08_2004,100,,40,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,50,100,,31_07_2007,23,5,v,,10_07_2008,,0,,5,v,,0,0,,,,,,23.4,5,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3506,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2716,1,10a20cm,C,B,-5.6,N,849,67,i04,2011,27,27,51,v,,01_08_2004,50,,48,4,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,1,100,,31_07_2007,51.3,3,v,,10_07_2008,,0,,3,v,cq,0,0,,,,,,52,3,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3507,,caripe,Licgra,Licania,gracilipes Taub.(ou octandra?),Chrysobalanaceae,,0.84,2717,1,10a20cm,C,B,-0.9,N,849.4,67,i04,2014,17,17,20.4,v,,01_08_2004,,,,4,v,cr,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,15,25,,31_07_2007,21.6,2,v,,10_07_2008,,0,,5,v,,0,0,,,,,,21.9,4,v,cq/cr,24_06_2010,22.2,1,v,cqcr,18_08_2011,22.9,4,v,cqcr,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3508,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2718,1,10a20cm,C,B,2.3,S,837.3,68,i04,2004,23,23,42.2,m,,01_08_2004,100,,82,0,m,,0,0,,,,,,0,m,pr,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,qt,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3509,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,2719,1,10a20cm,C,B,8.6,S,838,68,i04,2009,20,20,49,v,,01_08_2004,95,,50,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,190,100,,31_07_2007,50.1,1,v,,10_07_2008,,1.5,,0,m,toco/cr,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
351,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,351,1,10a20cm,F,B,-6.5,N,926.7,77,i04,2005,5,5,22.6,v,,01_08_2004,100,,50,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,20_09_2007,M,qt,caida,1,100,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,30_06_2010,,0,m,morta,16_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,14_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3510,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,2720,1,10a20cm,C,B,-3.6,N,860.8,69,i04,2004,5,5,33.8,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,pr,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,qt,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3511,,envira_vassourinha,Xylama,Xylopia,amazonica R.E.Fries,Annonaceae,,0.79,2721,1,10a20cm,C,B,-1.6,N,873.4,69,i04,2011,18,18,20,v,,01_08_2004,25,,16,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,120,100,,31_07_2007,21.2,2,v,,10_07_2008,,1,,4,v,,1,0,,,,,,21.1,4,v,,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3512,,xua,Sacgui,Sacoglottis,guianensis Benth. Var. guianensis,Humiriaceae,,0.84,2722,1,10a20cm,C,B,-8.5,N,872.5,69,i04,2009,23,23,26.4,v,,01_08_2004,80,,87,4,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,50,100,,31_07_2007,26.4,1,v,,10_07_2008,,0,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3513,,miraoba_folha_grande,Moubra,Mouriri,brachyanthera Ducke,Memecylaceae,,0.838461538,2723,1,10a20cm,C,B,5.3,S,854.9,70,i04,2006,16,16,25.2,v,,01_08_2004,1.5,,80,2,v,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,14_09_2007,M,,empe,220,75,,31_07_2007,24.1,0,m,,10_07_2008,,0,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3514,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,2724,1,10a20cm,C,B,9,S,853,70,i04,2011,25,25,26.2,v,,01_08_2004,30,,40,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,14_09_2007,V,,empe,1,100,,31_07_2007,28.2,4,v,,10_07_2008,,1.5,,4,v,,2,1,,,,,,30.1,4,v,cr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
3515,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,2725,1,10a20cm,C,B,6.4,S,858.9,70,i04,2011,25,25,26.7,v,,01_08_2004,5,,20,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,,0,0,14_09_2007,V,,empe,110,100,,31_07_2007,28.8,2,v,cr,10_07_2008,,0,,2,v,cr,5,0,,,,,,28,5,v,cr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
